{'timestamp': '2024-04-25 20:14:45', 'path': '/', 'method': 'GET', 'response_time': 0.0039958953857421875}
{'timestamp': '2024-04-25 20:16:19', 'path': '/posts/', 'method': 'GET', 'response_time': 0.0049817562103271484}
{'timestamp': '2024-04-28 15:51:05', 'path': '/', 'method': 'GET', 'response_time': 0.014074325561523438}
{'timestamp': '2024-04-28 15:51:07', 'path': '/posts/', 'method': 'GET', 'response_time': 0.004999876022338867}
{'timestamp': '2024-04-28 15:51:10', 'path': '/posts/2/', 'method': 'GET', 'response_time': 0.03099822998046875}
{'timestamp': '2024-04-28 15:51:15', 'path': '/', 'method': 'GET', 'response_time': 0.0009527206420898438}
{'timestamp': '2024-04-28 15:51:17', 'path': '/posts/', 'method': 'GET', 'response_time': 0.0009958744049072266}
{'timestamp': '2024-04-28 15:51:19', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.003009796142578125}
{'timestamp': '2024-04-28 15:51:26', 'path': '/', 'method': 'GET', 'response_time': 0.0010180473327636719}
{'timestamp': '2024-04-29 09:42:51', 'path': '/', 'method': 'GET', 'response_time': 0.02368617057800293}
{'timestamp': '2024-04-29 09:42:51', 'path': '/favicon.ico', 'method': 'GET', 'response_time': 0.17443394660949707}
{'timestamp': '2024-04-29 09:42:52', 'path': '/', 'method': 'GET', 'response_time': 0.0010826587677001953}
{'timestamp': '2024-04-29 09:42:53', 'path': '/posts/', 'method': 'GET', 'response_time': 0.010111093521118164}
{'timestamp': '2024-04-29 09:42:55', 'path': '/posts/1', 'method': 'GET', 'response_time': 0.004230022430419922}
{'timestamp': '2024-04-29 09:42:55', 'path': '/posts/1/', 'method': 'GET', 'response_time': 0.05068707466125488}
{'timestamp': '2024-04-29 09:42:55', 'path': '/media/изображение_2024-04-18_183103152.png', 'method': 'GET', 'response_time': 0.0009989738464355469}
{'timestamp': '2024-04-29 09:42:58', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 09:47:14', 'path': '/', 'method': 'GET', 'response_time': 0.017963409423828125}
{'timestamp': '2024-04-29 09:47:17', 'path': '/logout/', 'method': 'GET', 'response_time': 0.0031211376190185547}
{'timestamp': '2024-04-29 09:47:21', 'path': '/profile/', 'method': 'GET', 'response_time': 0.0030837059020996094}
{'timestamp': '2024-04-29 10:00:43', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 10:00:44', 'path': '/logout/', 'method': 'GET', 'response_time': 0.010196685791015625}
{'timestamp': '2024-04-29 10:00:44', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 10:00:47', 'path': '/posts/', 'method': 'GET', 'response_time': 0.007488727569580078}
{'timestamp': '2024-04-29 10:00:49', 'path': '/posts/1/', 'method': 'GET', 'response_time': 0.01026296615600586}
{'timestamp': '2024-04-29 10:00:53', 'path': '/login/', 'method': 'GET', 'response_time': 0.05689072608947754}
{'timestamp': '2024-04-29 10:01:05', 'path': '/login/', 'method': 'POST', 'response_time': 0.35215306282043457}
{'timestamp': '2024-04-29 10:01:05', 'path': '/', 'method': 'GET', 'response_time': 0.0030891895294189453}
{'timestamp': '2024-04-29 10:01:09', 'path': '/posts/', 'method': 'GET', 'response_time': 0.0020012855529785156}
{'timestamp': '2024-04-29 10:01:11', 'path': '/posts/8', 'method': 'GET', 'response_time': 0.005393505096435547}
{'timestamp': '2024-04-29 10:01:11', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.004204273223876953}
{'timestamp': '2024-04-29 10:01:22', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.1134026050567627}
{'timestamp': '2024-04-29 10:02:00', 'path': '/profile/', 'method': 'GET', 'response_time': 0.1242971420288086}
{'timestamp': '2024-04-29 10:07:53', 'path': '/profile/', 'method': 'GET', 'response_time': 0.08263158798217773}
{'timestamp': '2024-04-29 10:09:20', 'path': '/profile/', 'method': 'GET', 'response_time': 0.07648491859436035}
{'timestamp': '2024-04-29 10:09:42', 'path': '/profile/', 'method': 'GET', 'response_time': 0.05941653251647949}
{'timestamp': '2024-04-29 10:09:45', 'path': '/profile/', 'method': 'GET', 'response_time': 0.05463218688964844}
{'timestamp': '2024-04-29 10:09:46', 'path': '/profile/', 'method': 'GET', 'response_time': 0.04947018623352051}
{'timestamp': '2024-04-29 10:09:47', 'path': '/profile/', 'method': 'GET', 'response_time': 0.048903703689575195}
{'timestamp': '2024-04-29 10:09:50', 'path': '/profile/', 'method': 'GET', 'response_time': 0.05544281005859375}
{'timestamp': '2024-04-29 10:10:56', 'path': '/profile/', 'method': 'GET', 'response_time': 0.07382869720458984}
{'timestamp': '2024-04-29 10:12:50', 'path': '/profile/', 'method': 'GET', 'response_time': 0.05347728729248047}
{'timestamp': '2024-04-29 10:15:15', 'path': '/profile/', 'method': 'GET', 'response_time': 0.02888965606689453}
{'timestamp': '2024-04-29 10:15:15', 'path': '/media/media/photo_2024-02-17_19-00-29_aPCYkU1.jpg', 'method': 'GET', 'response_time': 0.014001607894897461}
{'timestamp': '2024-04-29 10:18:24', 'path': '/profile/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 10:18:24', 'path': '/media/photo_2024-02-17_19-00-29_aPCYkU1.jpg', 'method': 'GET', 'response_time': 0.04353523254394531}
{'timestamp': '2024-04-29 10:18:35', 'path': '/posts/', 'method': 'GET', 'response_time': 0.003974199295043945}
{'timestamp': '2024-04-29 10:18:38', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.008999824523925781}
{'timestamp': '2024-04-29 10:18:44', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.03810691833496094}
{'timestamp': '2024-04-29 10:26:27', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.05676841735839844}
{'timestamp': '2024-04-29 10:33:14', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.061640262603759766}
{'timestamp': '2024-04-29 10:33:29', 'path': '/logout/', 'method': 'GET', 'response_time': 0.0031054019927978516}
{'timestamp': '2024-04-29 10:33:29', 'path': '/', 'method': 'GET', 'response_time': 0.0}
{'timestamp': '2024-04-29 10:33:30', 'path': '/login/', 'method': 'GET', 'response_time': 0.00899815559387207}
{'timestamp': '2024-04-29 10:33:37', 'path': '/login/', 'method': 'POST', 'response_time': 0.34610724449157715}
{'timestamp': '2024-04-29 10:33:37', 'path': '/', 'method': 'GET', 'response_time': 0.004222869873046875}
{'timestamp': '2024-04-29 10:33:39', 'path': '/profile/', 'method': 'GET', 'response_time': 0.003110647201538086}
{'timestamp': '2024-04-29 10:33:41', 'path': '/posts/', 'method': 'GET', 'response_time': 0.003534555435180664}
{'timestamp': '2024-04-29 10:33:43', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.006082773208618164}
{'timestamp': '2024-04-29 10:33:48', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.03653669357299805}
{'timestamp': '2024-04-29 10:35:19', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.04283785820007324}
{'timestamp': '2024-04-29 10:36:44', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.0428309440612793}
{'timestamp': '2024-04-29 13:29:01', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.03307652473449707}
{'timestamp': '2024-04-29 13:29:06', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.027996063232421875}
{'timestamp': '2024-04-29 13:33:18', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.06498837471008301}
{'timestamp': '2024-04-29 13:35:18', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.06351971626281738}
{'timestamp': '2024-04-29 13:36:00', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.060997724533081055}
{'timestamp': '2024-04-29 13:36:02', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.03899884223937988}
{'timestamp': '2024-04-29 13:36:05', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.044999122619628906}
{'timestamp': '2024-04-29 13:36:09', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.0429997444152832}
{'timestamp': '2024-04-29 13:37:00', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.06299042701721191}
{'timestamp': '2024-04-29 13:46:34', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.05896878242492676}
{'timestamp': '2024-04-29 13:46:38', 'path': '/logout/', 'method': 'GET', 'response_time': 0.009999275207519531}
{'timestamp': '2024-04-29 13:46:38', 'path': '/', 'method': 'GET', 'response_time': 0.005083560943603516}
{'timestamp': '2024-04-29 13:46:40', 'path': '/login/', 'method': 'GET', 'response_time': 0.009000301361083984}
{'timestamp': '2024-04-29 13:46:47', 'path': '/login/', 'method': 'POST', 'response_time': 0.3579866886138916}
{'timestamp': '2024-04-29 13:46:47', 'path': '/', 'method': 'GET', 'response_time': 0.0029954910278320312}
{'timestamp': '2024-04-29 13:46:49', 'path': '/profile/', 'method': 'GET', 'response_time': 0.00400233268737793}
{'timestamp': '2024-04-29 13:46:49', 'path': '/media/photo_2024-02-17_19-00-29_aPCYkU1.jpg', 'method': 'GET', 'response_time': 0.0009970664978027344}
{'timestamp': '2024-04-29 13:46:50', 'path': '/posts/', 'method': 'GET', 'response_time': 0.004088401794433594}
{'timestamp': '2024-04-29 13:46:53', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.006055593490600586}
{'timestamp': '2024-04-29 13:46:58', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.03699779510498047}
{'timestamp': '2024-04-29 13:51:34', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.05719757080078125}
{'timestamp': '2024-04-29 13:51:39', 'path': '/profile/', 'method': 'GET', 'response_time': 0.009994029998779297}
{'timestamp': '2024-04-29 13:51:41', 'path': '/', 'method': 'GET', 'response_time': 0.004986763000488281}
{'timestamp': '2024-04-29 13:51:41', 'path': '/posts/', 'method': 'GET', 'response_time': 0.0029997825622558594}
{'timestamp': '2024-04-29 13:51:42', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.007999181747436523}
{'timestamp': '2024-04-29 13:51:46', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.04400014877319336}
{'timestamp': '2024-04-29 13:52:22', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.05901455879211426}
{'timestamp': '2024-04-29 13:52:26', 'path': '/profile/', 'method': 'GET', 'response_time': 0.006991863250732422}
{'timestamp': '2024-04-29 13:52:27', 'path': '/posts/', 'method': 'GET', 'response_time': 0.00299835205078125}
{'timestamp': '2024-04-29 13:52:29', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.009987592697143555}
{'timestamp': '2024-04-29 13:52:32', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.03999757766723633}
{'timestamp': '2024-04-29 13:55:11', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.0690000057220459}
{'timestamp': '2024-04-29 14:32:39', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.059998512268066406}
{'timestamp': '2024-04-29 14:33:39', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.04399991035461426}
{'timestamp': '2024-04-29 14:34:06', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.04499363899230957}
{'timestamp': '2024-04-29 14:49:36', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.08608841896057129}
{'timestamp': '2024-04-29 15:05:33', 'path': '/profile/', 'method': 'GET', 'response_time': 0.02768731117248535}
{'timestamp': '2024-04-29 15:05:36', 'path': '/posts/', 'method': 'GET', 'response_time': 0.007000446319580078}
{'timestamp': '2024-04-29 15:05:37', 'path': '/posts/8/', 'method': 'GET', 'response_time': 0.012013912200927734}
{'timestamp': '2024-04-29 15:05:41', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.06200051307678223}
{'timestamp': '2024-04-29 15:06:18', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.06700563430786133}
{'timestamp': '2024-04-29 15:16:44', 'path': '/posts/8/add_review/', 'method': 'POST', 'response_time': 0.08260035514831543}
{'timestamp': '2024-04-29 15:33:01', 'path': '/logout/', 'method': 'GET', 'response_time': 0.010007381439208984}
{'timestamp': '2024-04-29 15:33:01', 'path': '/', 'method': 'GET', 'response_time': 0.009000778198242188}
{'timestamp': '2024-04-29 15:33:07', 'path': '/login/', 'method': 'GET', 'response_time': 0.008974075317382812}
{'timestamp': '2024-04-29 15:33:16', 'path': '/login/', 'method': 'POST', 'response_time': 0.351987361907959}
{'timestamp': '2024-04-29 15:33:16', 'path': '/', 'method': 'GET', 'response_time': 0.002998828887939453}
